ID	Batch	Biosample	Accession	Ring	Tissue	Age	Sex
B4E9350_BL_ADL_F__SRR22581153	Saarland_Second	B4E9350_BL_ADL_F	SRR22581153	B4E9350	BL	ADL	F
B3Y6650_BL_ADL_F__SRR22581216	Saarland_Second	B3Y6650_BL_ADL_F	SRR22581216	B3Y6650	BL	ADL	F
B2X4101_BL_ADL_F__SRR22581114	Saarland_Second	B2X4101_BL_ADL_F	SRR22581114	B2X4101	BL	ADL	F
B2X4346_BL_CHK_F__SRR22581223	Saarland_Second	B2X4346_BL_CHK_F	SRR22581223	B2X4346	BL	CHK	F
B2X3087_BL_ADL_M__SRR22581242	Saarland_Second	B2X3087_BL_ADL_M	SRR22581242	B2X3087	BL	ADL	M
B4H1340_BL_ADL_M__SRR22581130	Saarland_Second	B4H1340_BL_ADL_M	SRR22581130	B4H1340	BL	ADL	M
B4P9464_BL_CHK_F__SRR22581189	Saarland_Second	B4P9464_BL_CHK_F	SRR22581189	B4P9464	BL	CHK	F
B3Y6859_BL_ADL_M__SRR22581197	Saarland_Second	B3Y6859_BL_ADL_M	SRR22581197	B3Y6859	BL	ADL	M
B4H0832_BL_ADL_F__SRR22581121	Saarland_Second	B4H0832_BL_ADL_F	SRR22581121	B4H0832	BL	ADL	F
B3Y5983_BL_CHK_F__SRR22581157	Saarland_Second	B3Y5983_BL_CHK_F	SRR22581157	B3Y5983	BL	CHK	F
B2X4110_BL_ADL_M__SRR22581141	Saarland_Second	B2X4110_BL_ADL_M	SRR22581141	B2X4110	BL	ADL	M
B2X4845_BL_ADL_F__SRR22581115	Saarland_Second	B2X4845_BL_ADL_F	SRR22581115	B2X4845	BL	ADL	F
B2X3215_BL_CHK_M__SRR22581249	Saarland_Second	B2X3215_BL_CHK_M	SRR22581249	B2X3215	BL	CHK	M
B4P8908_BL_ADL_M__SRR22581285	Saarland_Second	B4P8908_BL_ADL_M	SRR22581285	B4P8908	BL	ADL	M
B2X7411_BL_CHK_M__SRR22581268	Saarland_Second	B2X7411_BL_CHK_M	SRR22581268	B2X7411	BL	CHK	M
B3Y6742_BL_ADL_F__SRR22581260	Saarland_Second	B3Y6742_BL_ADL_F	SRR22581260	B3Y6742	BL	ADL	F
B4H1928_BL_CHK_M__SRR22581264	Saarland_Second	B4H1928_BL_CHK_M	SRR22581264	B4H1928	BL	CHK	M
B2V8973_BL_ADL_F__SRR22581177	Saarland_Second	B2V8973_BL_ADL_F	SRR22581177	B2V8973	BL	ADL	F
B4H0832_BL_CHK_F__SRR22581233	Saarland_Second	B4H0832_BL_CHK_F	SRR22581233	B4H0832	BL	CHK	F
B2X7382_BL_CHK_M__SRR22581133	Saarland_Second	B2X7382_BL_CHK_M	SRR22581133	B2X7382	BL	CHK	M
B4H0631_BL_CHK_F__SRR22581146	Saarland_Second	B4H0631_BL_CHK_F	SRR22581146	B4H0631	BL	CHK	F
B2X7406_BL_CHK_M__SRR22581231	Saarland_Second	B2X7406_BL_CHK_M	SRR22581231	B2X7406	BL	CHK	M
B2X7407_BL_ADL_F__SRR22581198	Saarland_Second	B2X7407_BL_ADL_F	SRR22581198	B2X7407	BL	ADL	F
B2X4305_BL_ADL_F__SRR22581210	Saarland_Second	B2X4305_BL_ADL_F	SRR22581210	B2X4305	BL	ADL	F
B4H0051_BL_ADL_F__SRR22581224	Saarland_Second	B4H0051_BL_ADL_F	SRR22581224	B4H0051	BL	ADL	F
